Eartag,StrainNameCurrent,DietCode,Sex,AgeAtDeath,C-peptide,Insulin,Leptin,GIP (total),IL-6,MCP-1/CCL-2,Secretin,PP,PYY,Resistin,TNF-alpha,HOMA-IR,BodyWeight,MeanLifespan,Plate
1688,BXD40,CD,F,180,1370.246,1555.186,32137.174,154.703,37.127,268.803,16.206,75.717,128.406,60201.065,22.487,10.302,38.27,478,1
1691,BXD40,CD,F,180,1321.917,1634.496,3948.733,45.996,15.903,136.365,39.726,75.717,107.948,29785.586,22.095,14.122,22.54,645,1
1688,BXD40,CD,F,180,1370.246,1555.186,32137.174,154.703,37.127,268.803,16.206,75.717,128.406,60201.065,22.487,10.302,38.27,478,1
2154,BXD43,CD,F,381,722.906,1106.464,2538.145,24.234,NA,NA,NA,NA,36.075,8320.883,3.726,NA,NA,728,7
2315,BXD43,CD,F,376,266.832,805.796,2383.627,55.643,NA,NA,11.026,NA,47.133,5353.803,3.395,NA,NA,728,7
1823,BXD44,CD,F,240,651.759,1057.863,1902.026,54.226,43.384,NA,14.894,NA,69.956,11286.953,13.985,8.988,21,537,6
1822,BXD44,CD,F,240,575.285,1137.302,2294.112,59.737,NA,NA,7.627,NA,39.743,8525.367,13.351,7.206,20.6,537,6
1504,BXD44,CD,F,379,519.237,1699.99,11616.271,356.709,106.646,70.097,47.298,94.659,1443.516,51892.731,37.101,17.381,24.08,537,1
1505,BXD44,CD,F,379,594.034,1156.889,7493.882,39.555,82.49,604.798,22.294,87.152,129.669,13683.68,33.332,8.913,22.04,537,1
1504,BXD44,CD,F,379,519.237,1699.99,11616.271,356.709,106.646,70.097,47.298,94.659,1443.516,51892.731,37.101,17.381,24.08,537,1
1505,BXD44,CD,F,379,594.034,1156.889,7493.882,39.555,82.49,604.798,22.294,87.152,129.669,13683.68,33.332,8.913,22.04,537,1
1391,BXD45,CD,F,384,58.764,916.312,487.389,630.799,NA,54.771,14.649,NA,NA,4542.341,2.249,7.851,24.16,756,2
1762,BXD45,CD,F,384,62.857,602.944,950.695,1260.868,NA,NA,121.011,25.751,536.53,3663.894,7.476,4.775,23.47,756,2
1826,BXD45,CD,F,507,103.14,1285.408,813.829,158.386,14.902,NA,107.184,NA,397.539,4729.259,5.458,NA,NA,756,7
1827,BXD45,CD,F,507,254.543,531.218,942.38,53.511,NA,299.326,22.296,NA,34.807,3519.115,8.87,NA,NA,756,7
132,BXD48,CD,F,731,348.489,382.351,176.317,57.408,NA,27.56,1.353,16.891,40.273,1277.896,0.088,2.257,29.72,718,4
136,BXD48,CD,F,740,602.773,997.773,648.682,141.223,10.646,NA,26.905,16.891,78.52,19903.984,2.02,7.04,26.27,718,5
2054,BXD48,CD,F,188,617.95,1176.722,519.069,41.201,NA,NA,3.234,NA,160.793,17520.592,8.538,15.589,25.9,718,6
1835,BXD48,CD,F,518,378.137,484.133,1113.253,71.459,NA,NA,4.59,NA,64.321,4627.621,4.842,NA,NA,718,7
1913,BXD48,CD,F,518,148.934,335.072,522.114,41.118,38.312,NA,13.6,NA,56.203,15631.315,4.424,NA,NA,718,7
1188,BXD48a,CD,F,604,330.022,952.417,758.624,20.085,114.405,127.893,71.991,204.52,153.525,24178.531,22.083,3.566,23.87,676,2
1189,BXD48a,CD,F,604,77.176,940.473,1013.476,39.556,23.884,508.46,NA,3.603,NA,17174.218,10.375,5.959,27.02,676,2
1455,BXD48a,CD,F,436,211.887,1394.842,2243.173,354.411,NA,NA,29.617,46.26,125.07,16664.817,11.786,11.449,27.34,676,3
1454,BXD48a,CD,F,436,179.265,641.209,1316.189,108.142,12.421,NA,43.685,55.679,77.072,20498.583,7.967,4.848,25.83,676,3
2058,BXD49,CD,F,190,69.148,NA,551.61,46.927,NA,NA,19.065,NA,83.81,13462.61,20.597,NA,26.15,NA,6
2578,BXD49,CD,F,245,1262.105,2346.734,35799.204,734.67,40.156,120.259,193.39,482.334,704.466,106572.503,44.269,NA,NA,NA,1
2578,BXD49,CD,F,245,1262.105,2346.734,35799.204,734.67,40.156,120.259,193.39,482.334,704.466,106572.503,44.269,NA,NA,NA,1
704,BXD51,CD,F,348,142.273,NA,2584.572,308.155,14.698,109.015,20.079,NA,238.661,15642.392,12.712,NA,28.57,858,4
703,BXD51,CD,F,348,265.668,500.809,6309.534,297.181,NA,64.585,23.116,NA,271.104,10785.609,11.667,4.363,29.03,858,4
1518,BXD51,CD,F,705,524.909,1836.499,799.956,165.282,499.994,NA,25.605,NA,28.76,16717.117,4.894,NA,NA,858,7
854,BXD53,CD,F,718,71.04,946.456,8728.98,28.328,NA,142.055,33.981,24.037,131.878,19296.027,13.637,7.973,32.54,760,3
851,BXD53,CD,F,718,116.002,469.153,852.524,229.404,520.508,NA,102.14,83.677,356.231,18579.81,14.551,3.277,26.07,760,3
847,BXD53,CD,F,571,479.078,639.018,7306.697,5.512,10.646,165.812,1.602,NA,NA,5864.252,8.272,2.346,25.95,760,5
848,BXD53,CD,F,571,863.335,692.018,11919.069,87.458,45.776,34.591,31.462,NA,73.767,15773.403,1.8,8.122,35.47,760,5
762,BXD56,CD,F,218,134.378,1337.138,389.442,393.7,89.348,167.987,NA,NA,NA,6039.889,19.026,13.19,26.3,712,3
763,BXD56,CD,F,218,547.628,854.183,683.814,740.633,12.421,104.517,56.493,18.531,97.452,34183.204,10.375,8.979,25.2,712,3
171,BXD60,CD,F,530,145.726,1189.866,503.976,128.118,1665.554,310.427,2.363,29.092,69.272,18352.117,78.546,2.142,24.14,700,4
170,BXD60,CD,F,530,331.457,1601.42,10185.599,462.872,22.645,34.591,6.597,NA,150.925,14081.035,4.093,16.604,43.42,700,4
169,BXD60,CD,F,744,675.139,2036.776,3609.049,621.429,94.104,95.044,15.786,NA,20.896,11088.099,50.133,10.559,30.43,700,5
236,BXD60,CD,F,759,787.818,977.784,4426.159,151.729,141.138,247.959,7.686,NA,19.364,11575.884,38.863,5.21,26.37,700,5
1724,BXD61,CD,F,188,81.265,504.539,405.609,141.668,23.884,77.15,NA,NA,NA,1737.465,10.375,5.195,28.51,756,2
1770,BXD61,CD,F,188,103.746,999.337,1099.152,319.742,NA,155.367,NA,NA,NA,2260.672,13.177,10.793,29.63,756,2
1840,BXD61,CD,F,524,556.497,1152.301,5559.655,39.18,6.695,NA,13.731,NA,172.768,7033.781,7.677,NA,NA,756,7
1841,BXD61,CD,F,524,966.236,2350.365,4731.63,223.175,NA,NA,17.141,NA,119.063,8769.791,7.193,NA,NA,756,7
2145,BXD61,CD,F,345,285.592,903.229,NA,164.908,43.384,180.671,27.104,108.882,152.214,4441.893,13.804,NA,NA,756,7
2146,BXD61,CD,F,345,1178.124,2827.668,NA,122.911,1400.393,281.77,16.65,142.566,155.732,7617.723,6.458,NA,NA,756,7
1798,BXD62,CD,F,724,120.086,283.242,1969.018,85.698,154.243,435.114,82.001,62.164,163.44,16024.713,350.052,1.489,26.34,729,2
1478,BXD62,CD,F,376,257.735,928.439,3758.207,96.567,80.731,77.15,28.936,12.179,72.221,5280.174,13.177,5.214,22.71,729,2
1436,BXD62,CD,F,353,173.147,351.62,1540.935,35.733,12.421,54.771,12.476,3.603,NA,3473.677,135.742,1.038,23.07,729,2
1848,BXD62,CD,F,253,358.96,950.085,1825.212,57.531,6.695,NA,18.827,NA,89.33,7408.44,9.856,5.746,24.3,729,6
1847,BXD62,CD,F,253,411.437,572.979,1210.584,17.572,53.078,315.964,30.237,NA,152.803,9929.567,16.414,5.611,25,729,6
1844,BXD62,CD,F,525,678.106,2018.32,4268.469,94.191,18.325,NA,59.749,NA,106.347,12120.605,3.17,NA,NA,729,7
1206,BXD62,CD,F,548,403.045,654.137,639.697,138.387,112.683,108.883,71.052,56.084,125.242,19712.497,18.964,4.804,24.6,729,1
1206,BXD62,CD,F,548,403.045,654.137,639.697,138.387,112.683,108.883,71.052,56.084,125.242,19712.497,18.964,4.804,24.6,729,1
1414,BXD63,CD,F,344,782.206,2139.841,9853.076,125.031,53.761,712.926,NA,29.039,32.293,10617.599,12.252,20.491,38.15,754,2
