EarTagNumberOriginal,EarTagNumberCurrent,StrainNameCurrent,DietCode,Sex,AgeAtDeath,WeightBody,Glucose,TotalChol,Triglycerides,FFA
1341,1377,BXD48,HF,F,595,45.93,10.6,1.7,1.10,0.56
588,588,BXD48,HF,F,557,76.21,13.5,2.2,0.45,0.91
589,923,BXD48,HF,F,557,53.09,13.2,1.5,0.41,0.39
214,214,BXD48a,HF,F,355,32.4,14.8,2.4,0.24,0.3
216,216,BXD48a,HF,F,351,45.3,16.3,3.1,0.39,0.43
1452,1452,BXD48a,HF,F,436,46.92,9.0,2.3,0.43,0.46
1238,1772,BXD48a,HF,F,597,49.86,7.9,2.0,0.85,0.58
1453,1453,BXD48a,HF,F,436,55.48,10.3,2.6,0.51,0.54
1239,1239,BXD48a,HF,F,597,53.08,7.4,1.7,0.66,0.38
210,210,BXD48a,HF,F,233,41.76,13.4,3,0.81,0.9
208,208,BXD48a,HF,F,233,38.37,9.6,2,0.8,0.77
698,698,BXD48a,HF,F,543,57.58,10.7,2.0,0.44,0.65
699,699,BXD48a,HF,F,543,45.04,10.9,1.8,0.66,0.79
2057,2057,BXD49,HF,F,190,29.81,11.1,2.5,1.32,1.28
2056,2056,BXD49,HF,F,190,28.43,8.5,2.3,1.10,1.15
1468,1919,BXD50,HF,F,361,31.34,11.7,3.1,0.15,0.27
1467,1918,BXD50,HF,F,361,35.59,12.7,2.4,0.11,0.27
1182,1182,BXD51,HF,F,211,31.97,9.7,0.3,0.35,0.29
598,598,BXD51,HF,F,357,49.33,12.4,2.9,0.34,0.59
600,600,BXD51,HF,F,357,69.04,16.7,2.1,0.61,0.33
1181,1181,BXD51,HF,F,211,37.65,10.3,1.4,0.29,0.53
833,833,BXD53,HF,F,713,58.49,11.6,2.5,0.13,0.52
836,836,BXD53,HF,F,713,36.36,7.1,0.3,2.60,1.29
557,557,BXD55,HF,F,573,24.98,7.1,2.0,0.85,0.88
556,556,BXD55,HF,F,573,24.19,9.4,2.5,2.15,1.73
1065,1065,BXD60,HF,F,374,61.03,15.7,3.3,0.42,0.59
