Eartag,StrainNameCurrent,DietCode,Sex,AgeAtDeath,C-peptide 2,logCpeptide,GIP (total),IL-6,Insulin,logInsulin,Leptin,logLeptin,MCP-1/CCL-2,Secretin,PP,PYY,Resistin,TNF-alpha,HOMA-IR
1081,BXD68,HF,F,545,799.956,9.64,985.479,139.833,2390.139,11.22,NA,NA,45.902,46.351,116.717,159.504,60741.879,53.67,14.28
1009,BXD9,HF,F,548,3162.141,11.63,722.144,215.17,27833.143,14.76,25884.539,14.66,54.568,30.288,64.036,129.669,68169.368,106.511,0.75
1315,BXD62,HF,F,548,118.88,6.89,538.437,611.918,274.615,8.1,480.771,8.91,482.347,225.738,90.916,196.928,NA,84.133,NA
1142,DBA/2J,HF,F,549,592.745,9.21,221.283,70.404,3255.572,11.67,23474.846,14.52,321.488,61.536,90.916,787.928,57315.086,130.24,23.91
1143,DBA/2J,HF,F,549,630.461,9.3,246.593,100.609,2750.057,11.43,31769.042,14.96,146.58,31.23,134.66,265.618,53481.293,56.078,11.88
1017,BXD9,HF,F,557,13717.988,13.74,251.455,305.464,50074.694,15.61,NA,NA,382.506,24.642,123.937,483.543,NA,289.123,NA
1300,BXD100,HF,F,715,764.893,9.58,93.139,28.038,1210.168,10.24,28154.291,14.78,175.282,12.473,60.079,196.333,57399.817,41.079,11.59
2032,BXD32,HF,F,721,74.693,6.22,66.58,13289.503,311.04,8.28,562.027,9.13,230.563,99.69,134.66,109.242,7210.309,751.287,NA
1180,BXD73b,HF,F,729,1007.35,9.98,142.589,185.048,4176.534,12.03,27616.587,14.75,238.457,26.522,79.554,251.871,43890.925,157.787,42.1
1179,BXD73b,HF,F,729,960.045,9.91,165.274,148.879,2134.498,11.06,1287.827,10.33,96.864,32.173,64.036,81.566,15373.015,37.498,11.99
